Response,Codes,physiological/emotional,Vicarious,Mastery,Social Persuasion,Utility Value,Media Triggered,Event Triggered,Intrinsic Value,Intrinsic Value (Astronomy),Attainment Value,Intrinsic Social,Cost (Emotional),Cost (Outside Effort),Cost (Loss),Cost (Task Effort),
I fell in love with my high school physics class and before I knew it I was only looking forward to do my physics homework.,"Physiological/Emotional, Intrinsic Value",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Since my father was a High School Physics teacher, he alwaysliked to challenge me with word problems, or easy physics problems. When I realized that I had a knack for solving these problems when I was in middle school, I thought I should give physics a try. After looking through a couplephysics books, I fell in love with the subject and have never looked back.","Vicarious Experience, Mastery Experience, Media Triggered",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
Liked physical oceanography. My college didn`t have an oceanography program so I did physics. Have done research in environmental science including physical oceanography.,"Intrinsic Value (Environmental), Event Triggered",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,intrinsic value environmental
i have always been really excited about science and physics in general. From the first time I took physics in high school all the way though college I always thought that physics was super fun and that I would excel in the subject. I also didn`t see many females getting excited about physics and science like Ii was and I would very much like to work on changing that.,"Intrinsic Value, Physiological/Emotional, Utility Value",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
IÕm not a physics major. I am a physics minor and largely due to my physics teacher. She makes the topics interesting and relatable. She never gives up on trying to make sure that we learn and understand concepts. Due to this as well as other characteristics she makes learning accessible and non intimidating.,Vicarious Experience,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
The biggest factor in my decision to major in physics was my high school physics teacher. He saw that I had a talent for physics and he was the first person to make me seriously consider it as a career. He presented me with an opportunity to attend a summer astrophysics program before my senior year in high school. He also took extra time to teach me and a few other students a physics course that was not offered in the school curriculum. If it were not for him I would not be doing what I am doing today. I am still good friends with him to this day because of all that he has done to help me.,"Social Persuasion, Event Triggered",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
"I knew I wanted to be in STEM, I took bio, chem, and physics in highschool but physics was the most interesting to me. I feel like it embodies most other subjects and does so practically. So I chose to be a physics major and do not regret it!",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
I became a physics major after spending two years in university studying literature and political science with a plan to go to law school. This took place 2015. I was interested in the factual evidence supplied by physics and wanted to understand the world around me in a more scientific way.,Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I`ve always known that I had an interest in science. It wasn`t until my high school physics class where I realized how much I enjoyed physics. Seeing my teacher have fun with interactive demonstrations and have an overall positive and encouraging attitude towards the subject made me think ""I want to learn more about this!"". My guidance counselor come time for college applications wasn`t as encouraging about what I said I wanted to study in college. In any case, she handed me a list of mostly ivy league reach schools that I knew I wouldn`t get in to or could afford. My parents had me go to my local community college first. I applied as a potential ""business"" major but on registration day switched to chemistry. I was just feeling lost and misguided, and had quite honesty forgotten my feelings for physics. I spent a year doing the general required classes. Once I got into the upper-level chemistry classes I floundered a bit, and switched my major again to ""general science"". I then took general biology courses and then noticed I was just a few classes shy of the associates in physics. So, along with having completed an associates in general science, I went forward and really started my college career in physics. That was a decision I do not regret. After completing my associate`s in physics, I transferred my credits to Rutgers, and found that I really enjoy nuclear science and biophysics.","Physiological/Emotional, Vicarious Experience, Cost (Emotional)",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
"My highschool at one point had a phenomenally wealthy donor give the funds to build a decent sized observatory. Those of us in the astronomy and physics class got to learn to use it, and go to nights where we`d stargaze. I also had a great physics and astronomy teacher in higschool.My friend`s dad was also in the process of a astrophysics postdoc.","Intrinsic Value (Astronomy), Vicarious Experience",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
"The beginning moment is like most others in high school, my physics teacher was in a rock band and a lumberjack... this made class openly creative. The last two months of classes we had an independent project, so I built a 6ft Dobsonian telescope. From the moment of building a telescope, I knew I had wanted to be a telescope technician/ invent new forms of optics. However to be an adequate astronomer/engineer I must be knowledgable in the realm physics, thus, I am an undergraduate physics student wanting to pursue an astronomy Ph.D..","Vicarious Experience, Utility Value, Intrinsic Value (Astronomy)",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,
"Since I was little I always had an interest in Astronomy from watching documentaries and specials on Astronomy related topics. As I grew up I became more interested in science and then to physics, since in most schools Astronomy and Physics are taught together. By the time I was in High School and was taking much more advanced science courses I started to rule out the sciences that I did not have interest in and eventually narrowed it down to Chemistry or Physics. After taking a Physics course in High School and enjoying the material I decided to major in Physics since that is the science I had the most interest in (plus Astronomy is with Physics therefore made much more appealing). Even though my parents did not get much education and don`t really know what Physics was I was always interested to know more since it can apply to everything around us and there is still a lot more things that need explanations and proofs in the Physics field.","Intrinsic Value (Astronomy), Media Triggered, Intrinsic Value, Physiological/Emotional",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,
I`ve honestly always been interested in the way things worked but was always slightly intimidated by physics growing up. It wasn`t until I took Mechanics and became a physics learning assistant that I considered changing my major. The deciding factor was actually two of my professors telling me they wished I was a physics major because I thought like a physicists. Shortly after that I changed my major and its been love ever since!,"Cost (Task Effort), Social Persuasion, Intrinsic Value",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,
"I had always been interested in physics and astronomy as a child, but in high school, I got more interested in programming and robotics. I was planning to major in mechatronics engineering, but I sat in on an upper-division physics class taught by the professor who is now my thesis advisor and thought ""I have to take this class."" To put it simply, I liked the department at my school, and I liked that class. I didn`t make the wrong choice.","Intrinsic Value, Intrinsic (Social)",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
"As a child, I have always been interested in the way things work, and constructing things. In high school, my physics teacher was incredibly inspiring. The amount that he knew and how he managed to tie it all together was amazing, everything seemed to make sense. It was for this same reason I chose to take physics for a natural science sequence as a general education requirement in college. My professors were incredibly supportive and I have always loved that physics seems to tie together all the sciences, as well as math. There is so much to be learned and physics is the subject area that has it all. There are also so many different aspects to physics and areas to research and I love that there are so many opportunities to learn and discover.","Vicarious Experience, Intrinsic Value, Social Persuasion",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I started off as a pre-med student wanting to major in chemistry. I had to take two physics courses as a requirement for the major. While taking these courses.....I fell in love. I found physics to be interesting, attention grabbing and really cool that by understanding the concepts and learning the math I could describe the world around me and how it worked. At least at a very basic level. So I wanted to learn more. I decided to minor since I didn`t discover physics until my sophomore year. But after talking to my advisers and checking my schedule I found out Junior year that I could actually major in physics. So I took my chance on the major that I actually loved. And here I am today.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"My interest in physics stemmed from my interest in astronomy. I took an astronomy course in high school, and my teacher took special interest in me because I was the youngest in the class and obviously loved the subject. He suggested I take AP physics with him. I took the class and loved it, so he suggested I take AP physics 2 and AP physics C the next year, which I did. The subject was so perfect for me because there is no memorization, its all problem solving. Understand the concepts, and it`s easy to apply what you`re learning to multiple situations.","Intrinsic Value (Astronomy), Social Persuasion",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
"The first time I took physics was in high school, and at that point, it seemed like the most inaccessible subject. I failed a lot of quizzes and tests, and that demotivated me. However, I figured I was learning it wrong. So I took it upon myself to teach it to myself, and that`s when I started appreciating the subject and eventually falling in love with it. I also met a great teacher who taught me how to learn physics, so I owe it to him!","Cost (Task Effort), Vicarious Experience, Intrinsic Value",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
I`ve always been interested in Astronomy and I tried doing some research and decided that`s what I wanted to do. There were definitely plenty of doubts along the way.,"Intrinsic Value (Astronomy), Event Triggered, Cost (Emotional)",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,
"All my life, my parents encouraged me to do well in math (I come from a low-income family and am a first generation American and college student, so they wanted me to do well financially). It wasn`t a problem, as I seemed to be good in math and actually liked it. I also had a fascination with space, and made it a point to tell everyone and everything that I was going to be an astronaut.   In the country my parents came from, women were well respected in those fields (enginnering). I later transferred to a specialized math and science boarding high school in Maine, just to get away from it all and see if I really wanted to pursue a career in math and science. This is where things really started to get bad. Being a generally shy/sensitive person, I was thrown into classes where I ended up being one of two or three girls in a room packed with guys(I`m thinking mostly of my CS/Robotics classes) - it wouldn`t have been such a problem if they didn`t all have this superiority complex. It really got to me, and it seemed like they were way ahead of me academically and much more knowledgeable than me, that I felt that there was no way I could go into math/science. I felt sooo out of place. Then I happened to take my first astronomy class. I was lucky enough to have the teacher I did - If it wasn`t for him, I don`t think I would ever have thought to declare a physics major here at Mount Holyoke. he reminded me of my love for astronomy/physics - he would to get me to work harder, to not give up in not just his class but in my other math/physics classes as well. He made sure to remind me nearly everyday that I am capable of doing anything, no matter my gender and what field I want to pursue. Me, who thought very little of myself, honestly really needed to hear this. Because of this experience, I am now going to be an astrophysicist - I plan to major in physics (with an astronomy concentration), and minor in CS. I couldn`t be happier :)","Social Persuasion, Mastery Experience, Intrinsic Value (Astronomy), Cost (Emotional)",0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,
"Most of the motivation to initially pursue physics came from my aptitude in math and science courses in high school and my dad encouraging me to pursue it. Going into my sophomore year of college, I was doubting whether I wanted to be a physics major or not. I didn`t have a close relationship with any of the professors nor did I have any guidance for the questions I had (and still do) about what I wanted to do with a physics major. My first semester of sophomore year, I started building relationships with some of my classmates (I am the only female student) and one of the professors in the department. These relationships helped me feel more comfortable in the major. Second semester of my sophomore year we were introduced to quantum mechanics and nuclear physics. This was the first time I was intensely fascinated with what I was learning and that feeling has only increased since then. I spent my summer after sophomore year working for the professor I had formed a relationship with designing experiments in nuclear physics.","Social Persuasion, Matery Experience, Intrinsic (Social), Intrinsic Value",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
"My father encouraged I study science because I had outstanding understanding of it from a young age. He took me star gazing, had be read Stephen Hawking books and Scientific Americans, and took me to any science festivals that were going on in the Triangle area.When I graduated high school, it was only natural that I go into physics and continue that path my father had started for me.","Social Persuasion, Media Triggered, Event Triggered",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
"On the first day of AP Physics in high school, my teacher sent us in groups to lab tables covered in random equipment and said ""Okay, now figure out the spring constant of this spring."" He did not give any equations, instructions, or direction, and I think the experimental curiosity and critical thinking that this problem solving activity demanded really drew me into scientific inquiry, particularly in Physics. I have always been interested in Mathematics, and after taking a few Physics classes at the college level I fell in love with how the natural world can be explained numerically. In terms of my research interest in the field of Education, I have always loved learning and the academic environment.","Intrinsic Value, Physiological/Emotional",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"The first time I knew I was going to major in physics was not until senior year of high school. I grew up with a grandfather in love with astrophysics, I also loved it, but I did not know that it was considered physics.  I always heard how people hate physics, how awful it was.  I did not know until first hand that physics was actually, amazing. My high school teacher saw that I had a natural talent with physics and told me if I liked it, I should pursue it.  I have never second guessed myself, physics was a great choice for me.","Vicarious Experience, Social Persuasion, Physiological/Emotional, Intrinsic Value (Astronomy), Mastery Experience",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,
"My father was a physics major and got his Masters in Nuclear Physics. So, growing up he would tell me all about it and would talk about how amazing physics was, and so when I got to college I decided that a good knowledge about physics would be both interesting and a good way to get a good knowledge about the world and how it works.","Vicarious Experience, Intrinsic Value, Social Persuasion",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"When I was I kid I was always fascinated by space, the stars, how the world worked, I even remember telling my dad that I`d understand all of it one day, even string theory and quantum mechanics. For a while I became intimidated by physics and science due to how much work it would take, I did not believe I was smart enough or that I would realistically be able to do so much schooling, so I fell back on the option of striving to become a nurse like my older sister and many other female members of my family. In high school I took a physics class and fell in love, but still I was intimidated by calculus. I took a risk and set my major as Physics anyway, at that point I had at least realized that I didn`t want to be a nurse. I wasn`t absolutely certain that Physics is what I wanted to do until the first month of college when I realized how much I would be missing out on by ever leaving physics, how strong fighting through all of the fear and intimidation would make me. Now I am certain that I will keep with the physics major until the very end.","Intrinsic Value (Astronomy), Physiological/Emotional",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"I love to challenge myself and, as a high school student, saw that women were not seen or represented very often in the Physics community. I had the good fortune of having a female research scientist teach my AP physics classes. It is because of her that I became so interested in Physics. Well, that and the fact that I wanted to make a name for myself as the only female student interested in Physics in my high school.At my university, a liberal arts institution, I am currently one of five women in undergraduate Physics. It has been hard being the gender-minority in a classroom (to the point where I would be the only one in a class of six), and often I would find myself comparing my intelligence with my classmates and wondering if I was less intelligent. Thankfully, due to support from my professors and my stubborn inability to back down from a challenge, I`ve stayed with the Physics department and am now doing research for my astrophysics professor.I wouldn`t have it any other way. I love physics.","Physiological/Emotional, Vicarious Experience, Cost (Emotional), Social Persuasion, Event Triggered",1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,
"I did not have a specific source of inspiration. I have always loved science, specifically astronomy. My dad, who has a degree in physics, always encouraged by to pursue the interest. However, I didn`t consider an actual career in physics until I was applying to college, just because I was not really aware it was a path I could realistically pursue, outside of a more applied field like engineering.My high school calculus teacher also played a part in showing me that higher math, or math in general could be enjoyable, and giving examples of careers that existed in math and science.","Intrinsic Value (Astronomy), Vicarious Experience, Social Persuasion, Cost (Loss of Valued Alternatives)",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,
I first took physics in my sophomore year of high school and fell in love with the subject. I didn`t do very well the first time I took it (partly because of my teachers method which was to give us practice problems and then a test with no lecturing or reviewing of problems) but I knew that I wanted to understand more. I`ve taken physics every year since and knew by my senior year of high school that it was the subject for me.,Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"In 7th grade I became very interested in astronomy, and wanted to become an astronomer after watching Carl Sagan`s `Cosmos`. Then, I realized that studying astronomy would require a lot of physics knowledge, so I made the effort to take as many physics courses in high school as possible. Towards the end of high school I realized that physics as a whole is very interesting to me so I decided to keep going with it and made it my major for college.","Intrinsic Value (Astronomy), Media Triggered",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
I developed a strong interest in the universe and knew since 5th grade that was the only thing I wanted to spend my time pursuing. My high school math teacher encouraged to pursue Astrophysics.,"Intrinsic Value (Astronomy), Social Persuasion",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
"When I came to college as a first year, I was afraid to tell people that I was a physics major since it wasn`t the subject I scored the highest in my high school. I was very much dissuaded by my teachers. However, on coming to college, I got involved with the physics department and the several activities and opportunities they provided. The fellow upperclassmen encouraged me and helped me a lot to feel confident about my ability to do math and comprehend physics concepts.","Cost (Emotional), Intrinsic (Social)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
"I had female professors and I took special relativity as my first college physics course. I really enjoyed it and from then on considered to be a physics major. I was afraid to become a physics major because of the difficulty, since I had more experience in computer science. However, I always enjoyed my physics courses more than my computer science courses so that was the time I decided to do physics.","Vicarious Experience, Physiological/Emotional, Cost (Task Effort)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
I took physics in high school and found I really enjoyed it because it explained how things you see everyday happens the way they do. My physics teacher in high school was very supportive and patient with answering all my questions when I didn`t understand how to do a problem.,"Physiological/Emotional, Social Persuasion, Intrinsic Value",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I took a physics class in high school and really liked it. I started liking the topics it covered a lot earlier in high school. When I got to college I came in as a theatre major but needed a minor, and physics would be something i was interested in, and so I just made it another major.",Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I have always liked math and science. I have enjoyed working with numbers and solving equations especially when in high school. It wasn`t until this semester when my physics professor told me that I should attend this conference to expand and explore possible career options.He believes that I am a good and intelligent student.Since I really like math and science, and I don`t know where to go with them I am hoping that by going to this conference it can help me decide what I want to do.","Intrinsic Value, Physiological/Emotional, Social Persuasion",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
I have always enjoyed physics and I decided that it is something I can see myself doing for a long long time.,Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I am a non-traditional student (i.e. I am returning to school to complete my first bachelor`s degree at 39 years of age). As I was rasing my children and working in the healthcare field, I read every book I could get my hands on about physics; from cosmology to particle physics, I was enthralled.  What I found I was lacking was a deeper understanding of the mathmatical concepts and I longed to make a contribution to understanding the world around me- and inside me.  I decided to pursue a formal education in the field and beleive to my core that I can make significant contributions to our understanding of the natural world.","Media Triggered, Intrinsic Value",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
I began considering physics as a career when I became instrested in quantum physics. I never took physics in Highschool the school I attended had very poor education level but I became very interested in the subject and read as much as i could about it in my own. I think that having a strong background in mathematics had a great influence in my decision to choose physics as it was much easier to make sense of.,"Intrinsic Value (Quantum), Media Triggered",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,intrinsic value quantum
Both my parents are college professors,Vicarious Experience,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Having a great physics teacher in high school encouraged me to pursue a degree in physics education.,"Vicarious Experience, Intrinsic Value (PER)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,intrinsic value per
"I participated in high school robotics, and enjoyed programming and engineering. I liked the math component a lot, and enjoyed applying it. It took some time to get over engineering as a ""gross male job but I am interested in it now. ""","Cost (Emotional), Event Triggered, Utility Value",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,
"Since my family never saw the value in me furthering my education, my inspiration came from fellow members of a hacker space. Together, they showed me that I did have the capacity to learn which turned into a great love of education and nothing was more interesting than the laws the govern our physical world.","Social Persuasion, Intrinsic Value",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
I think most of my interest in physics comes from high school. I`ve also read a lot about physics in the news and find it really fascinating. It`s just something I`ve naturally been drawn to. I`m excited to continue studying it and attend conferences to learn more about physics.,"Media Triggered, Intrinsic Value",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
I`ve always liked the riguer in physics. It`s what makes it challenging.,Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"When I started undergrad, I figured I should take physics classes because I was pretty good at it. I was really intimidated by my first-year advisor`s other advisees, and I told my advisor that I didn`t think I was smart enough to be a physics student. He told me about impostor syndrome and suggested that I have lunch with the woman of color in the department. She shared a lot of her experiences and advice. I did well at first, despite not really finding a place in any study groups. I then did very poorly in second semester (E&M). I didn`t feel comfortable around the professor and I felt isolated from my classmates, who were very close with one another. That semester, I also took a first-year seminar in astrophysics, taught by my advisor, which I enjoyed but struggled through. The next year, I enrolled in sophomore-level physics and sophomore-level astrophysics. I struggled a lot for the first month and a half for the same reasons. I had to take a medical leave for unrelated reasons and did not finish the semester. The next summer, I ended up deciding that I wasn`t smart enough for physics and that I should become a computer science major. That fall, I took intro CS and sophomore-level astrophysics. I found the astro classes really tough but I liked them a lot. I particularly liked my astronomy professor from the spring, Andrea Lommen. When the time came for the department to hire summer research fellows, I figured I wasn`t good enough to conduct research since I hadn`t done really well in a physics/astro class since freshman fall. Andrea reached out to me to invite me to apply, so I did and I got a placement in her lab! That summer I learned so much from doing research. In conversations with Andrea, my colleagues, and a postdoc that I met at the conference Andrea took us to, I realized how much I enjoyed doing research and that I wanted to keep doing so. I just declared my Astro major at the start of my Junior year!","Mastery Experience, Social Persuasion, Vicarious Experience, Cost (Emotional), Cost (Outside Effort), Physiological/Emotional, Event Triggered",1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,
"I began by reading scientific american in high school and finding the physics/astronomy the most interesting.I had the opportunity to help out in a physics lab later in high school, so I was exposed to research in person and discovered I really enjoyed it. I also worked on my own circuitry project at the lab and learned more about independent work and science innovation through that.Throughout college so far I have found all the courses in physics that I`ve taken to be fascinating. Additionally, my professors have been supportive and encouraging.","Media Triggered, Event Triggered, Social Persuasion, Intrinsic Value",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,
"The summer going into my senior year of high school, I had attempted suicide. When I had survived and recovered, I felt incredibly lost as to what I was going to do after high school. At the time, I really wanted to go into medical school, but did not do so hot in AP Biology my junior year so majoring in Biology was out of the question.I then sat down and really thought about what subjects I loved and did well in. And then I thought about who inspired me, and it was my AP Physics B & C teacher. She was half Filipino (I`m full Filipino) and had a physics degree and a job. I was hesitant at first because of the difficulty and rigor of a physics degree, but then I had stumbled across an article called ""You want a physicist to speak at your funeral"". I was completely moved and inspired after reading it, and that was what solidified my choice to major in physics.When I had told my high school physics teacher about my revelation and what I wanted to do post-high school, she had told me that I was making a big mistake. She told me to go into engineering or premed, but not into physics. To this day, she refuses to speak to me.Despite her strong opposition, I continued on with my physics degree. Admittedly, I did struggle, I still do. However, the support of my women professors, women physics graduate students, and fellow lady physics undergrads, is what keeps me inspired and keeps me going.As of the present day, I am an undergraduate research assistant in the ""extreme environments"" lab at my school. I am 2 semesters away from graduating with my BA in Physics and my teacher certification for 7-12 secondary sciences. I couldn`t have gotten here without a lot of support.","Vicarious Experience, Media Triggered, Cost (Emotional), Cost (Task Effort), Social Persuasion, Event Triggered",0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,
My introductory physics course at Wellesley inspired me to be a Physics major,Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I grew up near the Kennedy Space Center in Titusville, Fl and many family members of mine have worked with or for NASA. Because of the experiences I have had living so close to the space program, I have had an interest in physical sciences and astronomy since a young age. In addition, my high school physics teacher taught me how wonderful and interesting the world of physics is. Upon finishing my high school physics course, I knew that it was what I wanted to do for the rest of my life.","Vicarious Experience, Social Persuasion, Intrinsic Value (Astronomy)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
"I first became interested in physics my junior year of high school, when I took first first intro level class. After becoming increasingly interested with the concepts and theories, I signed up to take AP physics 1 my senior year. Both of these classes gave me a solid foundation in physics, and inspired me to take a physics class my first semester of college. I currently take Introductory Physics II at Bowdoin College. While taking these classes and becoming more and more interested in physics, I began to read books on astronomy and the universe to answer some of my burning questions. One in particular, ""The Cosmic Connection"" by Carl Sagan inspired me to think more deeply about the importance of physics and space exploration in society. All of these experiences have led me to consider a possible physics major.","Intrinsic Value, Media Triggered",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
"When I was a junior in high school I attended the New Jersey Governor`s School in the Sciences, where I was introduced to physics topics like rocketry and special relativity.  These courses allowed me to look beyond high school physics and into the realm of some really interesting topics in more advanced physics, which convinced me to put ""physics"" down as my major when I went to college.I had a hard time adjusting to the pace of college physics classes and had an even harder time adjusting to the attitudes of my peers, which nearly drove me out of the physics department, until I spoke to a professor in the department and she convinced me to do a research project with her to get out of the undergraduate courses and into real physics research.  After completing this project, I was dedicated to staying in the major despite the climate-related issues.","Intrinsic Value, Cost (Emotional), Social Persuasion, Event Triggered",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,
"I met an astronaut that told me that great minds do not stand still, they look up and around to do bigger and better things to help the community. Astrophysics is where I found my place.","Intrinsic Value (Astronomy), Social Persuasion",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
"I have always been interested in space as a child, specifically how much is still unknown about the universe. In high school, I decided to apply for summer programs related to astronomy and see if this could be a potential career path for me. During my time at the Yale Young Global Scholars program, I was able to attend specialized seminars about space, tour the astronomy facilities on campus, and even present a capstone project about the future of space exploration at the end of the program. This experience inspired me to take my first astrophysics class the following summer at Stanford, which solidified my love for physics and astronomy, which ultimately led me to majoring in both areas at UC Berkeley.","Intrinsic Value (Astronomy), Event Triggered",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
"I have always loved science and math, and they come relatively easy to me.I`m pursuing my bachelor`s degree as a chemistry major mathematics minor.Physics I & II were required classes for graduation.I choose to take the calculus based courses due to my love and understanding of mathematics.The first physics class I had ever taken was in my junior year of college.I really enjoy physics and feel it is unfortunate that I didn`t get introduced to physics until fairly recently.I didn`t have high school physics, so the coursework is new and exciting while challenging. None the less, I have learned more from my two physics classes than I knew was possible.I`m truly excited to get involved in the physics community as I would like to study material science or perhaps engineering.Physics is my favorite branch of science because it is all encompassing and explains the phenomena of the universe by incorporating concepts and mathematical models.I feel like I belong in a physics related career.I think that in physics my creativity, math and problem solving skills all come together.Furthermore, the physics department at my school has been the most embracing to me as a student.I also would love to pursue art, but with physics I feel I can use my artistic talents as well, vice verse.Nature brings together science and art, and I know there has to be a place for me somewhere in the science world.","Intrinsic Value, Mastery Experience, Physiological/Emotional",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
In high school I took a good physics course and a very good calculus course. My calculus teacher had a background in science.A classmate of mine was very good at math and physics. She went to Caltech for her undergrad and she was something of a role model to me.My father has always been interested in science and engineering. My uncle works in an observatory. My mother is a teacher and was very encouraging when I was applying for college.,"Vicarious Experience, Social Persuasion",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I didn`t consider it an option seriously until after I had been in engineering for a while. I hated engineering, but I loved the math and physics, so I just decided that instead of doing engineering because I like physics, why not just do physics. That was it. Simple as that, and I never switched again.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"As a child, I enjoyed breaking my toys and putting them back together. Growing up, I realized that engineering was the path I wanted to take but I first wanted to get my undergrad in physics so I could fully understand how physics came into play in the engineering field.","Intrinsic Value, Utility Value",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
"The second week of college, I asked a professor if I could audit her intro physics major course and she said, ""Nope, majors only, do you want to double major?""  I decided in under ten seconds I wanted to try to double major because I really wanted to learn more physics, but I had no experience except I took AP physics in senior year of high school.  I`m very grateful that I got the opportunity because I can`t imagine who I would be today if I hadn`t dived into physics.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"The first time I took physics was at the calculus based university level. At the time, I was encountering general chemistry and calculus all at the same time for a full year. I decided that since previously of that year, I loved marine science, I could pursue an education in physical oceanography. Going further into upper division physics has led me to a furious passion for geophysics. Nothing gets me more excited than this subject. In high school I had hated math and was told that I could not be successful. But now all I do is math and physics! I think that geophysics could use more of a female population and I am excited about making headway in that direction","Intrinsic Value (Geophysics), Utility Value, Cost (Emotional), Physiological/Emotional",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,intrinsic value geophysics
I was hired to be apart of QuarkNet Note Dame and worked in dark matter research at IUSB. I enjoyed it very much and knew I wanted to follow that path.,"Physiological/Emotional, Event Triggered",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
"I originally started by thinking I wanted to go into theater. I loved stage craft but I didn`t only love the theater part, I also loved the science of what I was doing with lights and sounds. I recognized my passion for science and how excited I would get when I would talk about physics. The math and ideas made sense to me and I wanted to know more. The further I dove, the more I got excited about recognizing science in the real world. I would point it out to the people I was around and only other people who get as excited as I would were physics people. All the signs were there and I just listened to my own intuition. In addition, I had an older sister who got her physics degree and she really opened up my eyes to what physics could be and is beyond introduction courses.","Intrinsic Value, Intrinsic (Social), Vicarious Experience",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
"My high school physics teacher was very supportive and encouraging. Physics and calculus were my favorite classes in high school, and I wanted to keep studying physics in college.","Social Persuasion, Physiological/Emotional",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I got very interested in High school because I loved my teacher and how she taught the class as lab-based.  Then once I realized how versatile the major was I jumped in, very excited for future opportunities. I realized I could go into engineering, enviromental science, finance, forensic science, and research. I loved the freedom it gave me and I can not wait for more.  I love the support I get from my professors and they really keep me in my major.","Social Persuasion, Utility Value, Intrinsic (Social), Vicarious Experience",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,
